plano_nome,plano_id,aluno_status,aluno_id,data_entrada,duracao_treino
Bronze,3,ativo,339,2025-07-19 03:15:56,67
Prata,2,inativo,52,2026-01-24 09:52:34,79
Prata,1,ativo,410,2025-07-05 04:11:51,1
Prata,1,ativo,118,2025-07-08 12:56:57,42
Prata,1,ativo,155,2025-12-27 08:12:46,64
Bronze,2,ativo,167,2025-05-13 18:31:30,22
Prata,2,inativo,329,2026-02-26 10:09:48,130
Bronze,2,inativo,67,2026-01-27 17:23:28,13
Prata,3,ativo,76,2025-08-13 10:46:34,54
Bronze,1,ativo,446,2025-05-18 00:51:33,113
Prata,1,inativo,337,2026-03-27 00:15:55,114
Ouro,1,ativo,258,2025-10-23 14:02:27,95
Bronze,2,inativo,281,2025-08-10 14:04:53,52
Bronze,2,inativo,231,2025-06-19 10:12:05,18
Ouro,2,ativo,196,2025-06-22 13:28:01,105
Bronze,1,ativo,355,2025-09-12 20:50:39,58
Bronze,2,inativo,44,2026-01-19 05:47:33,22
Prata,2,inativo,349,2025-08-02 09:24:02,93
Prata,2,ativo,265,2026-03-27 14:00:54,122
Prata,2,ativo,75,2025-04-13 21:40:22,7
Bronze,3,inativo,32,2025-09-07 03:05:53,126
Prata,1,ativo,153,2025-11-12 10:17:03,32
Bronze,1,inativo,303,2025-05-11 14:19:39,78
Bronze,1,ativo,454,2026-03-08 23:07:48,11
Bronze,1,ativo,129,2026-03-05 05:05:47,10
Prata,3,ativo,12,2025-07-31 09:52:02,96
Bronze,1,inativo,24,2026-03-06 12:54:55,102
Prata,3,inativo,197,2026-01-01 20:30:01,40
Ouro,1,ativo,396,2025-05-12 07:17:58,69
Prata,1,inativo,48,2025-09-02 21:05:44,88
Prata,2,ativo,79,2025-06-21 02:23:54,91
Ouro,2,inativo,147,2025-08-03 12:56:05,87
Ouro,1,inativo,27,2025-07-31 08:03:03,64
Bronze,2,inativo,320,2025-08-19 19:22:32,105
Bronze,2,ativo,253,2025-05-12 04:28:03,69
Bronze,1,inativo,498,2026-03-09 08:53:26,97
Ouro,3,inativo,127,2025-10-14 05:29:41,67
Bronze,2,inativo,351,2025-12-02 16:25:22,43
Bronze,1,inativo,267,2025-11-21 11:55:23,74
Bronze,3,ativo,344,2025-06-04 21:24:52,115
Bronze,1,inativo,31,2026-02-16 21:54:35,66
Prata,1,inativo,220,2026-01-18 04:40:44,5
Bronze,2,ativo,52,2025-07-21 11:16:12,124
Bronze,3,inativo,484,2026-01-01 07:25:48,128
Bronze,1,ativo,204,2025-08-25 21:10:58,40
Prata,3,inativo,414,2026-03-15 09:51:09,130
Prata,2,inativo,5,2025-10-17 09:25:06,125
Prata,3,ativo,319,2026-04-03 01:19:38,21
Prata,3,ativo,449,2025-08-14 10:04:58,106
Bronze,2,ativo,17,2025-04-09 20:57:10,89
Ouro,2,inativo,214,2025-11-15 13:08:26,75
Bronze,3,ativo,229,2025-09-11 05:45:18,106
Bronze,1,inativo,69,2025-09-22 08:15:50,109
Bronze,3,ativo,444,2026-04-05 17:22:37,128
Ouro,3,inativo,426,2026-01-04 01:02:23,34
Ouro,3,ativo,444,2025-05-19 04:02:40,79
Ouro,1,inativo,192,2025-12-13 00:25:01,113
Prata,1,inativo,119,2026-03-04 06:22:15,33
Bronze,3,ativo,435,2025-04-17 08:03:22,28
Prata,2,inativo,223,2025-09-10 23:13:03,17
Bronze,1,ativo,202,2025-05-01 03:35:50,102
Bronze,3,inativo,380,2025-09-30 16:06:20,7
Bronze,1,ativo,39,2026-02-26 06:07:00,122
Prata,2,inativo,244,2025-09-08 14:55:27,25
Bronze,1,inativo,143,2025-04-12 06:08:30,119
Ouro,1,inativo,285,2025-09-22 20:58:25,31
Bronze,1,inativo,210,2025-08-05 08:15:52,14
Prata,3,ativo,179,2026-02-15 21:54:08,111
Bronze,3,inativo,276,2025-10-16 00:23:52,26
Prata,1,ativo,478,2026-01-19 13:48:06,110
Prata,1,ativo,227,2025-05-10 17:16:19,76
Prata,3,ativo,19,2026-03-07 07:00:34,83
Ouro,2,inativo,435,2025-10-10 05:53:45,85
Prata,1,ativo,52,2025-10-10 02:15:43,43
Prata,2,inativo,32,2025-08-05 20:48:42,108
Bronze,1,inativo,394,2025-09-10 20:30:17,1
Ouro,3,ativo,494,2025-04-22 22:18:14,68
Prata,2,inativo,12,2025-11-30 13:43:24,54
Prata,3,inativo,33,2025-10-03 17:04:41,55
Bronze,1,ativo,447,2025-10-07 03:32:30,96
Bronze,3,ativo,31,2026-02-08 15:23:09,109
Prata,3,inativo,25,2025-11-04 17:08:42,30
Prata,3,ativo,245,2026-03-18 23:03:16,16
Bronze,3,inativo,148,2025-12-13 16:05:52,92
Bronze,2,inativo,187,2025-06-21 23:26:06,129
Ouro,2,ativo,297,2025-06-19 11:42:14,24
Bronze,1,ativo,429,2025-06-07 02:22:21,20
Prata,3,ativo,268,2025-10-20 05:12:19,54
Bronze,1,inativo,80,2025-08-15 13:14:15,17
Prata,2,inativo,147,2025-05-29 22:02:46,86
Bronze,3,inativo,240,2025-05-01 15:26:22,130
Prata,1,ativo,112,2025-09-05 23:57:09,99
Prata,3,ativo,50,2026-01-01 12:59:06,53
Prata,3,inativo,22,2026-01-22 18:54:37,101
Prata,2,inativo,367,2025-06-28 17:18:44,94
Ouro,2,ativo,407,2025-11-18 23:16:09,48
Bronze,3,ativo,155,2025-07-18 10:39:06,47
Prata,1,inativo,377,2025-09-27 10:14:43,127
Bronze,1,ativo,454,2025-06-28 23:14:48,120
Bronze,3,inativo,430,2026-02-13 01:06:13,38
Bronze,1,ativo,331,2026-01-18 08:21:10,47
Prata,2,inativo,44,2026-04-01 10:20:00,71
Bronze,2,ativo,318,2025-04-27 17:48:10,130
Bronze,1,inativo,83,2025-07-29 07:49:57,130
Bronze,3,inativo,238,2025-08-13 23:38:14,65
Prata,1,ativo,193,2026-01-23 10:23:12,3
Ouro,1,inativo,24,2025-12-15 22:42:35,37
Bronze,1,ativo,398,2026-01-19 20:37:33,35
Ouro,1,inativo,403,2026-02-11 08:04:23,62
Bronze,1,inativo,289,2025-05-13 10:04:46,81
Bronze,3,inativo,94,2025-05-20 05:16:43,71
Bronze,2,ativo,323,2025-07-22 10:33:59,66
Prata,2,ativo,31,2025-05-11 23:45:23,4
Bronze,2,inativo,439,2025-12-09 18:39:06,97
Prata,2,inativo,114,2026-01-03 22:34:19,46
Bronze,3,ativo,24,2025-08-09 09:15:52,10
Ouro,3,ativo,287,2025-08-24 17:42:08,112
Bronze,1,ativo,140,2025-07-25 11:39:26,24
Bronze,1,inativo,157,2025-07-14 00:09:55,88
Bronze,1,ativo,172,2025-07-10 01:50:42,22
Prata,3,inativo,140,2025-07-09 23:30:11,48
Prata,3,ativo,405,2026-01-17 03:25:33,62
Bronze,3,ativo,178,2025-07-17 20:42:39,51
Bronze,1,inativo,469,2025-06-22 21:58:37,44
Prata,3,inativo,353,2025-10-10 13:37:21,98
Prata,3,ativo,305,2025-04-23 19:26:14,33
Bronze,3,ativo,274,2026-03-14 04:43:46,88
Bronze,1,ativo,218,2025-08-29 19:03:30,114
Prata,1,inativo,276,2025-12-28 00:42:39,85
Prata,1,ativo,56,2025-06-20 12:10:38,23
Ouro,2,inativo,231,2026-01-24 05:43:54,74
Bronze,1,inativo,390,2026-01-17 00:27:30,8
Bronze,1,ativo,458,2025-12-20 05:42:19,122
Ouro,1,ativo,259,2025-09-19 05:53:44,41
Bronze,1,ativo,29,2025-09-07 08:39:08,5
Prata,1,inativo,293,2025-07-18 16:57:46,38
Ouro,3,inativo,12,2026-02-09 00:53:58,105
Prata,3,ativo,30,2025-10-05 19:57:33,103
Bronze,2,inativo,348,2026-03-04 15:20:50,44
Bronze,2,ativo,40,2025-08-15 15:59:53,77
Bronze,1,inativo,279,2025-12-07 08:17:08,87
Bronze,1,ativo,436,2026-03-23 03:02:29,67
Bronze,3,ativo,239,2026-02-03 09:02:44,79
Prata,1,inativo,427,2025-04-23 04:47:11,68
Prata,1,inativo,157,2026-04-05 06:44:57,127
Prata,3,inativo,59,2026-01-01 23:37:57,100
Bronze,2,inativo,426,2025-10-23 14:25:48,76
Ouro,1,ativo,218,2025-11-18 16:50:01,86
Bronze,1,inativo,187,2025-08-16 00:36:26,9
Ouro,2,inativo,8,2025-05-30 08:06:10,65
Prata,2,inativo,187,2026-02-03 16:33:53,77
Bronze,3,inativo,217,2025-11-01 01:40:09,10
Prata,1,inativo,249,2025-08-19 22:42:28,119
Ouro,2,ativo,33,2025-04-11 03:46:09,28
Bronze,1,ativo,102,2025-09-26 06:45:13,16
Prata,1,ativo,484,2025-04-08 15:14:02,102
Bronze,2,ativo,239,2026-01-26 13:40:31,89
Ouro,3,inativo,35,2025-05-22 22:13:31,120
Prata,2,inativo,421,2025-12-01 05:51:47,7
Bronze,3,ativo,281,2026-02-09 08:50:47,12
Ouro,2,inativo,362,2025-09-05 13:46:42,119
Bronze,3,inativo,50,2025-04-28 13:08:27,64
Bronze,3,ativo,337,2026-01-13 18:46:26,120
Bronze,2,inativo,447,2026-03-21 01:12:44,47
Bronze,3,inativo,423,2026-04-01 18:02:45,124
Prata,1,ativo,117,2025-10-17 20:23:46,47
Bronze,1,inativo,429,2025-04-24 10:33:20,95
Prata,3,inativo,195,2025-07-30 03:05:39,64
Prata,3,ativo,288,2025-12-16 08:42:22,40
Bronze,2,inativo,316,2026-01-14 22:24:33,32
Prata,3,ativo,405,2025-07-24 01:26:49,92
Ouro,1,ativo,44,2026-02-25 18:53:53,116
Bronze,2,ativo,358,2025-07-06 10:20:05,17
Ouro,1,inativo,384,2025-11-18 02:35:38,82
Ouro,2,inativo,363,2025-06-05 14:13:57,112
Prata,3,ativo,261,2025-11-03 08:20:34,25
Bronze,3,ativo,423,2025-12-16 12:56:59,67
Bronze,3,inativo,100,2025-08-21 09:12:44,100
Bronze,3,ativo,63,2025-12-10 03:16:17,64
Bronze,2,ativo,378,2025-07-14 08:21:03,26
Bronze,2,ativo,261,2025-11-26 06:40:54,118
Prata,2,inativo,346,2026-04-03 17:07:44,122
Bronze,3,ativo,368,2025-10-14 01:59:54,88
Bronze,1,ativo,368,2026-04-03 15:08:48,54
Prata,1,ativo,89,2026-04-04 12:26:27,45
Ouro,2,inativo,121,2026-01-09 13:16:48,37
Bronze,2,inativo,53,2025-06-11 20:05:49,106
Bronze,1,ativo,445,2025-04-08 16:15:26,79
Ouro,3,ativo,55,2025-05-12 02:42:53,7
Prata,1,ativo,129,2025-12-25 20:46:40,115
Prata,3,inativo,444,2026-01-26 11:41:45,74
Prata,2,ativo,60,2025-12-22 16:32:39,119
Prata,3,inativo,489,2025-08-01 01:16:14,0
Ouro,2,inativo,242,2025-05-24 15:31:05,102
Prata,2,inativo,284,2025-04-08 23:31:19,79
Bronze,2,ativo,490,2025-06-08 16:12:32,105
Bronze,1,inativo,392,2025-04-23 16:17:41,127
Bronze,1,inativo,4,2025-12-29 18:31:20,113
Prata,2,inativo,308,2026-03-09 04:17:31,43
Bronze,2,ativo,428,2025-05-27 22:43:25,42
Prata,3,inativo,13,2025-11-09 22:32:41,39
Bronze,1,inativo,286,2025-09-17 06:17:11,123
Bronze,1,inativo,8,2026-01-06 02:05:21,2
Bronze,1,ativo,105,2025-06-28 00:03:50,100
Bronze,1,inativo,326,2026-03-09 03:25:23,96
Bronze,1,inativo,420,2025-07-24 14:09:44,68
Bronze,1,ativo,309,2026-01-28 18:00:46,49
Bronze,1,ativo,391,2025-12-20 01:28:41,6
Bronze,3,ativo,310,2026-01-31 09:57:33,22
Prata,3,inativo,141,2025-04-10 21:07:23,86
Bronze,2,inativo,24,2025-08-09 03:15:06,34
Prata,3,inativo,17,2025-04-11 01:43:18,15
Bronze,3,ativo,239,2025-08-25 21:01:56,81
Bronze,1,ativo,140,2025-05-09 13:14:32,29
Bronze,3,ativo,297,2025-09-04 21:01:42,61
Bronze,1,inativo,490,2025-09-15 10:07:24,59
Ouro,3,ativo,302,2025-06-17 20:32:13,107
Bronze,1,ativo,201,2025-09-12 21:51:55,117
Bronze,3,inativo,234,2026-02-24 15:26:08,97
Prata,3,ativo,185,2026-03-13 21:24:03,11
Bronze,1,inativo,17,2025-07-29 07:21:58,40
Ouro,1,ativo,86,2026-02-02 20:30:38,129
Bronze,3,inativo,148,2025-07-01 19:05:07,97
Bronze,3,inativo,425,2025-07-01 13:47:58,36
Ouro,2,inativo,285,2025-04-27 11:20:39,74
Bronze,2,inativo,439,2025-06-25 19:36:03,107
Bronze,3,inativo,93,2025-12-08 07:25:38,3
Bronze,2,ativo,204,2025-10-14 11:28:42,91
Bronze,3,inativo,497,2025-07-30 04:34:48,4
Prata,3,inativo,256,2026-02-05 08:12:21,32
Ouro,2,inativo,339,2025-04-02 04:02:50,1
Prata,1,ativo,361,2025-07-11 04:52:17,42
Prata,2,inativo,249,2025-10-09 18:26:08,76
Bronze,1,ativo,484,2025-10-09 09:50:02,31
Prata,1,inativo,251,2025-04-02 22:29:43,109
Prata,1,ativo,471,2025-12-12 16:25:25,83
Ouro,2,ativo,154,2025-10-12 05:01:24,95
Ouro,3,inativo,347,2025-05-09 21:52:57,38
Bronze,2,ativo,281,2025-05-05 22:45:57,97
Bronze,1,ativo,146,2025-04-26 07:47:20,79
Prata,3,inativo,31,2025-10-11 17:30:48,39
Bronze,3,inativo,380,2026-02-09 01:39:41,55
Bronze,3,inativo,249,2025-07-31 19:59:11,18
Bronze,1,inativo,102,2025-10-22 06:26:43,67
Prata,3,inativo,89,2025-06-06 16:47:47,99
Bronze,1,inativo,93,2026-01-16 01:30:46,29
Prata,1,inativo,211,2025-08-31 02:18:05,23
Bronze,1,ativo,243,2025-11-11 19:53:11,18
Bronze,3,ativo,268,2025-09-08 23:28:35,78
Bronze,3,inativo,239,2026-02-14 11:50:20,97
Bronze,2,inativo,424,2025-04-07 23:03:19,20
Prata,3,ativo,11,2025-09-23 05:29:40,107
Bronze,1,ativo,302,2025-12-20 20:59:03,70
Bronze,1,ativo,43,2025-06-11 03:06:08,110
Bronze,3,inativo,394,2025-07-20 12:32:41,92
Bronze,3,ativo,209,2026-01-20 03:56:57,46
Ouro,1,ativo,303,2025-09-22 19:56:57,106
Ouro,1,ativo,71,2025-07-29 01:57:49,45
Bronze,1,inativo,109,2025-10-24 20:04:25,59
Prata,3,ativo,162,2025-04-28 23:51:37,35
Bronze,3,ativo,456,2026-03-14 19:51:00,49
Prata,3,inativo,56,2025-10-14 20:16:54,36
Prata,1,inativo,376,2025-10-12 22:01:28,13
Prata,1,inativo,241,2026-03-02 18:40:19,127
Bronze,2,inativo,189,2026-03-02 19:37:15,60
Bronze,1,ativo,227,2026-02-26 12:15:28,87
Ouro,1,ativo,301,2025-07-05 22:40:39,87
Prata,2,ativo,460,2025-11-04 13:03:11,40
Bronze,3,ativo,205,2025-06-19 23:05:56,88
Bronze,3,ativo,382,2025-11-07 18:59:42,29
